iter	Passed	Remaining
341	1819144	840423
342	1825437	835550
343	1830783	830239
344	1836219	824968
345	1842819	820214
346	1848563	815072
347	1853303	809488
348	1858455	804087
349	1865238	799387
350	1870550	794051
351	1874976	788342
352	1880194	782970
353	1885407	777597
354	1891770	772694
355	1896684	767198
356	1901813	761790
357	1906589	756244
358	1911888	750908
359	1917754	745793
360	1923677	740695
361	1928880	735319
362	1933621	729769
363	1939357	724595
364	1944238	719101
365	1949881	713891
366	1954490	708303
367	1959374	702819
368	1964176	697309
369	1969618	692028
370	1974615	686591
371	1981482	681800
372	1986224	676274
373	1991058	670784
374	1997042	665680
375	2001991	660231
376	2006834	654749
377	2012673	649592
378	2016631	643832
379	2021379	638330
380	2027842	633368
381	2032935	627974
382	2037936	622555
383	2042683	617060
384	2048037	611751
385	2052578	606201
386	2058986	601202
387	2064110	595825
388	2069274	590461
389	2074787	585196
390	2079824	579797
391	2084756	574371
392	2089249	568828
393	2094757	563564
394	2100401	558334
395	2107696	553536
396	2113169	548253
397	2119489	543185
398	2125969	538152
399	2130842	532710
400	2136309	527418
401	2141250	521996
402	2146051	516543
403	2151119	511157
404	2156863	505930
405	2162491	500675
406	2167988	495388
407	2173979	490211
408	2179146	484846
409	2185748	479798
410	2191319	474519
411	2196403	469134
412	2202554	463976
413	2207776	458620
414	2212764	453216
415	2217683	447801
416	2223377	442542
417	2229792	437423
418	2235160	432095
419	2241700	426990
420	2247895	421814
421	2253055	416441
422	2260916	411561
423	2269916	406871
424	2277832	401970
425	2284679	396869
426	2289377	391392
427	2296157	386269
428	2301866	380961
429	2308516	375804
430	2313103	370311
431	2318696	364980
432	2324655	359704
433	2330454	354400
434	2337071	349217
435	2343951	344066
436	2350530	338863
437	2354662	333308
438	2360358	327976
439	2365902	322623
440	2371357	317256
441	2377007	311915
442	2382058	306495
443	2389064	301323
444	2395705	296098
445	2400375	290628
446	2405839	285256
447	2410950	279842
448	2416254	274452
449	2422223	269135
450	2427999	263796
451	2434387	258519
452	2440069	253163
453	2445950	247827
454	2450917	242398
455	2456196	237001
456	2461301	231588
457	2465863	226127
458	2470821	220705
459	2475899	215295
460	2481218	209907
461	2486213	204493
462	2491582	199111
463	2497833	193797
464	2504068	188478
465	2509819	183119
466	2514318	177671
467	2519836	172296
468	2524870	166889
469	2530884	161545
470	2536466	156173
471	2541873	150789
472	2547172	145398
473	2552037	139985
474	2559581	134714
475	2564009	129277
476	2569395	123891
477	2575336	118530
478	2580502	113132
479	2585880	107745
480	2591418	102363
481	2598008	97021
482	2603287	91627
483	2607889	86211
484	2612823	80808
485	2619632	75462
486	2625094	70074
487	2630682	64688
488	2636935	59317
489	2641934	53917
490	2647221	48523
491	2654667	43165
492	2659959	37768
493	2665389	32373
494	2671095	26980
495	2678133	21597
496	2683852	16200
497	2688707	10798
498	2694965	5400
499	2701695	0
