iter	Logloss
0	0.6838137028
1	0.6759025279
2	0.6698572453
3	0.6632985079
4	0.6582959991
5	0.6532708827
6	0.6494469232
7	0.6463519366
8	0.643338038
9	0.6400302721
10	0.6376682
11	0.6353116791
12	0.6331510855
13	0.6313894589
14	0.6292836371
15	0.6277752412
16	0.6262870099
17	0.6246980554
18	0.6232529758
19	0.6222529916
20	0.6209493726
21	0.619826154
22	0.6188322491
23	0.6179576366
24	0.6172924626
25	0.616568332
26	0.6158693031
27	0.6150003122
28	0.6144826031
29	0.6138233151
30	0.6131965045
31	0.6125788507
32	0.6119332436
33	0.6114334413
34	0.6108583681
35	0.6102673311
36	0.6099517783
37	0.6095246761
38	0.6091956999
39	0.608920685
40	0.6084899472
41	0.6081539969
42	0.6077872116
43	0.6075663394
44	0.6071965104
45	0.6069421777
46	0.6067018311
47	0.6064463349
48	0.6062033822
49	0.6057083214
50	0.6055394313
51	0.6052145549
52	0.6049794298
53	0.6046234068
54	0.6043195549
55	0.6040988849
56	0.6038333861
57	0.6035666624
58	0.6032632673
59	0.6030037181
60	0.6027520612
61	0.6025291578
62	0.6022752823
63	0.6020830497
64	0.6016822944
65	0.6014382434
66	0.6011776894
67	0.6009347236
68	0.6007743005
69	0.600626978
70	0.6004106117
71	0.6002310273
72	0.6000240596
73	0.5999018844
74	0.5997337869
75	0.599555119
76	0.5993123858
77	0.5992206308
78	0.5990461786
79	0.5989418663
80	0.5988401961
81	0.5987148133
82	0.5986383261
83	0.5984866613
84	0.5983085243
85	0.5982396479
86	0.5981070258
87	0.598022563
88	0.5978050767
89	0.5977281341
90	0.5975953368
91	0.5974783967
92	0.5974160599
93	0.5973580203
94	0.5972624753
95	0.5971702797
96	0.5970172834
97	0.5969437396
98	0.5968939924
99	0.5968303134
100	0.5966605482
101	0.5965461041
102	0.5964637416
103	0.5963692904
104	0.5962308898
105	0.5961166083
106	0.5959950591
107	0.5959011428
108	0.5958128046
109	0.5957111664
110	0.5956595554
111	0.5955362899
112	0.5954914368
113	0.5954538733
114	0.5954148053
115	0.5953719626
116	0.5952847344
117	0.595254107
118	0.59515293
119	0.5951041126
120	0.5949759622
121	0.5949399788
122	0.5948693776
123	0.5947486751
124	0.594671177
125	0.5946022886
126	0.5944749973
127	0.5944435676
128	0.5944069596
129	0.5943765211
130	0.5942884655
131	0.5942613907
132	0.5941874699
133	0.5941494696
134	0.5940882752
135	0.5940636905
136	0.5939963852
137	0.5939234628
138	0.5938545195
139	0.593825743
140	0.5937149225
141	0.5936625507
142	0.5935932898
143	0.5935486909
144	0.593441819
145	0.5934121065
146	0.5933757109
147	0.5933420138
148	0.5932806766
149	0.5932201528
150	0.5931492335
151	0.5931229116
152	0.5930281895
153	0.5930034865
154	0.5929752975
155	0.5929479064
156	0.5929161303
157	0.5928940534
158	0.592864753
159	0.5927987681
160	0.5927744292
161	0.5927542382
162	0.5926768254
163	0.5926453088
164	0.5926174313
165	0.5925545536
166	0.5925019706
167	0.5924824547
168	0.5924601118
169	0.5924406496
170	0.5924173676
171	0.5923803897
172	0.5923351099
173	0.5923149823
174	0.5922359535
175	0.5922114662
176	0.5921951873
177	0.5921342546
178	0.5921010757
179	0.5920678206
180	0.5920417578
181	0.5920192959
182	0.5919444029
183	0.591921224
184	0.5919024275
185	0.5918656634
186	0.5918502791
187	0.591821414
188	0.5918026628
189	0.5917763435
190	0.5917551539
191	0.591709828
192	0.591690053
193	0.5916686468
194	0.5916130708
195	0.5915935307
196	0.591573458
197	0.5915459706
198	0.5915174133
199	0.5915052675
200	0.5914348004
201	0.5913916292
202	0.5913758702
203	0.5913425801
204	0.5912900303
205	0.59126094
206	0.5911524852
207	0.5910405846
208	0.5910137704
209	0.5909782424
210	0.5909513546
211	0.5909352514
212	0.5909173961
213	0.5908805295
214	0.5908415159
215	0.5907723988
216	0.590735925
217	0.5907129332
218	0.5906812256
219	0.5906344836
220	0.5905832556
221	0.5905694517
222	0.5905326757
223	0.5905138032
224	0.5904979282
225	0.5904678085
226	0.5904516391
227	0.5904346574
228	0.5903880924
229	0.590343639
230	0.5903355435
231	0.5903224037
232	0.5902759613
233	0.5902397977
234	0.5902196193
235	0.5901619206
236	0.5901412683
237	0.5901243468
238	0.5900915657
239	0.5900509882
240	0.5900334574
241	0.5899956267
242	0.589977088
243	0.5899418638
244	0.5899284786
245	0.5898744726
246	0.5897859664
247	0.5897765778
248	0.5897488067
249	0.5897327324
